날짜,총자산,수익금,수익률
2026-01-27,101150.19954681396,1150.1995468139648,1.1501995468139647
2026-02-02,101954.95861053467,804.7590637207031,0.7956079842909726
2026-02-06,104423.52878952026,2328.3203735351562,2.280538342258391
2026-02-09,105004.92847824097,721.6494941711426,0.6920088255772825
2026-02-11,106276.62926101685,1271.700782775879,1.2110867567891346
2026-02-18,107606.81053543091,519.920654296875,0.48551289039581275
2026-02-18,125372.53078079224,810.2606201171875,0.6504863945334475
2026-02-20,108097.489818573,490.67928314208984,0.45599277657293585
2026-02-24,108786.34934616089,688.8595275878906,0.6372576539418705
2026-03-04,105914.67977142334,908.8002166748047,0.8654755529198433
2026-03-09,105517.0304069519,1764.750099182129,1.7009265665749138
2026-03-10,106569.86078643799,-2590.749080657959,-2.3733369425218673
2026-03-11,107451.86078643799,-1823.6400833129883,-1.6688462361628926
2026-03-16,107780.24025726318,1084.3799514770508,1.0163280453142798
2026-03-17,108177.14093017578,47.25048065185547,0.04369789006113203
2026-03-23,108468.74018859863,612.3598022460938,0.5677548236391381
2026-03-25,109767.9808807373,978.4801483154297,0.8994251667006861
2026-03-31,114158.87034606934,4177.170524597168,3.79805961480661
2026-03-31,141611.30025863647,709.7995834350586,0.5037558720337908
2026-04-01,116194.66963195801,1539.7186431884766,1.342915094298276
2026-04-29,116684.66046142578,1286.7305603027344,1.1150378186205332
2026-04-30,118009.13077545166,527.730583190918,0.44920351845251755
2026-05-05,120400.97086334229,2391.840087890625,2.026826290621384
2026-05-08,123307.25043487549,2906.279571533203,2.4138340004183965
2026-05-13,124502.6905593872,1195.4401245117188,0.9694808053019465
2026-05-20,127971.87064361572,2531.099639892578,2.017764734415937
2026-05-20,148409.4702835083,938.0804443359375,0.6361101264177265
2026-05-28,128570.37146759033,598.5008239746094,0.4676815467059577
2026-06-02,132390.5524673462,3820.1809997558594,2.97127631829145
2026-06-08,130925.13246917725,2225.3007049560547,1.7290626370303406
2026-06-11,138347.8350906372,4377.341171264648,3.2673919780418683
2026-06-11,160970.82564544678,2141.76123046875,1.3484693361114932
2026-06-15,141840.5546951294,705.59912109375,0.4999463940197377
2026-06-17,142461.82454681396,621.2698516845703,0.43800579673417184
2026-06-25,146220.53408050537,2211.83935546875,1.5359068143016859
2026-06-25,170471.09413909912,1546.8701782226562,0.9157183865949964
2026-06-29,148040.5739212036,1820.0398406982422,1.2447224681153015
